"En,sinhala"
"cowcatcher,බාධා නිවාරකය"
"cowed,සංත්‍රස්ත"
"cower,බියේ හැකිළෙනවා "
"cowgirl,ගොපලු දැරිය"
"cowhand,ගොපල්ලා"
"cowherd,එඬේරා "
"cowhide,ගවහම"
"cowl,තාපසයන්ගේ හිස් වැස්ම "
"cowlick,නළල මතට වැටෙන කෙස් රොද"
"cowman,ගොපල්ලා"
"cowpat,ගොම තැම්බ"
"cowpea,කව්පි"
"cowpox,ගව වසූරිය"
"cowrie,කවඩියා "
"cowshed,ගවමඩුව"
"cox,ඔරුකාරයා "
"coxcomb,ජේත්තුකාරයා "
"coxswain,ඔරුකාරයා "
"coy,කොහොල් "
"coyly,ලජ්ජා සහිතව"
"coyness,කෝල බව "
"coyote,ඇමරිකානු වෘක හැඩ ඇති වන සුනඛයා"
"cozen,වංචා කරනවා "
"cozy,සුවපහසු හා උණුසුම් සහිත "
"crab-apple,ඇඹුල් වල් ඇපල්"
"crab,කකුළුවා "
"crabbed,කුඩා සහ කියවීමට අමාරු "
"crabby,ඉක්මනින් කෝප වන "
"crack,ඉරිතැලීම "
"crackbrained,අතිශයින් මෝඩ"
"crackdown,අපරාධකරුවන් මර්දනයට ගන්නා දරුණු පියවර"
"cracked,පළුදු සහිත "
"cracker,තුනී විස්කෝතු වර්ගයක් "
"crackerjack,ඉතා හොඳ"
"crackers,වියරු "
"cracking,ඉතා විශිෂ්ට "
"crackle-ware,ඔපවත් පිඟන් බඩු"
"crackle,පටපට ගානවා "
"crackling,පට පට ගෑම "
"cracknel,විස්කෝතු වර්ගයක්"
"crackpot,ඔල්මාදකාරයා"
"cracksman,ගෙවල් බිඳින්නා"
"cradle,තොටිල්ල "
"cradled,ඇතිදැඩි වුණු "
"craft,කලා කෞශල්‍යය "
"craftiness,කපටිකම "
"crafts,ශිල්ප"
"craftsman,කර්මාන්තකරුවා "
"craftsmanship,ශිල්ප කෞශල්‍යය "
"crafty,කපටි "
"crag-and-tail,විෂමප්‍රාන්ත හෙල"
"crag,දැඩි පර්වතය"
"cragged,පර්වත කූට සහිත "
"craggy,පර්වත කූට සහිත "
"crake,කුරුලු වර්ගයක්"
"cram,තද කොට අහුරනවා "
"crammed,තද වෙන්න පිරවූ "
"crammer,විභාගයට තදින් පාඩම් කරන්නා "
"cramming,විභාගයට තදින් පාඩම් කිරීම"
"cramp,කෙණ්ඩා පෙරළීම "
"cramped,කියවීමට අපහසු අත් අකුරු ආදිය "
"crampon,හිමෙහි යාමට සපත්තු මත පළඳින උල් සහිත ලෝහ තහඩුව"
"cranberry,කැන්බෙරි ගස හෝ ගෙඩි"
"crane-fly,ඉතා දිගු කකුල් සහිත මැසි ජාතියක්"
"crane,දොඹකරය "
"cranial,කපාල "
"cranial,හිස්කබල හා සම්බන්ධ"
"cranium,හිස් කබල "
"crank,වක්දණ්ඩ "
"crankcase,වකැටිකසුව "
"cranking,යන්ත්‍රයක් කරකැවීම "
"crankshaft,දඟරකඳ "
"cranky,විකාර "
"crannied,සිදුරු සහිත"
"cranny,කුඩා විවරය "
"crap,නිසරු කතා "
"crape hair,කෘත්‍රිම කොණ්ඩා හා රැවුල්"
"crape,අවමඟුල්වල දී අඳිනු ලබන කළු සේද රෙදි ජාතියක් "
"crapulent,අධික මත් පැන් පානයෙන් හෝ ආහාර ගැනීමෙන් ඉස්මුරුත්තා වූ"
"crash helmet,මෝටර් සයිකල් කරුවන්ගේ හිස් වැස්ම"
"crash-dive,හදිසයේ පහළට කිමිදීම"
"crash-land,ගුවන් යානයක් හදිසියෙන් ගොඩ බානවා"
"crash,වාහනයක් හැප්පෙනවා "
"crass,මෝඩ "
"crassness,මෝඩකම "
"crate,ඇහුරුම් පෙට්ටිය "
"crater,ගිනිකන්දෙහි විවරය "
"cravat,පිරිමි ගෙල වටා දමන සාටකය "
"crave,දැඩිව ආශා කරනවා "
"craved,දැඩිව ආශා කළ"
"craven,බියසුලු "
"craving,දැඩි ආශාව "
"craw,කුරුල්ලන්ගේ හා කෘමීන්ගේ ආමාශය"
"crawfish,පොකිරිස්සා"
"crawl,බඩගානවා "
"crawler,බඩගා යන්නා "
"crawling,දණ ගෑම"
"crayfish,පොකිරිස්සා"
"crayon,ක්‍රෙයොන් "
"craze,උන්මාදය "
"crazed,උන්මත්තක "
"craziness,උමතුභාවය"
"crazing,ඉරි තැලීම"
"crazy,උන්මත්තක "
"creak,කිරි කිරි ගානවා "
"creaking,කිරි කිරි ගෑම "
"creaky,කිරිකිරි ගෑම වැනි ශබ්ද නගන සුලු"
"cream,ආලේපනය "
"creamery,කිරිහල "
"creamy,උකු "
"crease,නැම්ම "
"creaser,පුලුක් කටුව"
"create,තනනවා "
"created,නිර්මිත "
"creation,නිර්මාණය "
"creationism,දෙවියන් සියල්ල මැවීය යන මතය"
"creative,නිර්මාණශීලී "
"creativity,නිර්මාණශීලතාව"
"creator,නිර්මාතෘ "
"creature comforts,‍ලෞකික සම්පත්"
"creature of habit,පුරුදුවලට ම ඇබ්බැහි වූ තැනැත්තා"
"creature,සත්ත්වයා "
"credence,ඇදහිල්ල "
"credential,විශ්වාසයට හේතුව "
"credentials,අක්ත පත්‍ර "
"credibility gap,කියූ දේ හා නියම තත්ත්වය අතර පරතරය"
"credibility,විශ්වසනීයත්වය "
"credible,ඇදහිය හැකි "
"credibly,විශ්වාස වශයෙන්"
"credit card,ණය වරපත"
"credit,ණයවර "
"creditable,ප්‍රශංසනීය"
"creditor,ණය හිමියා"
"creditworthy,ණය දීමට සුදුසු"
"credulity,ඉක්මණින් පැහැදීම "
"credulous,ඉක්මණින් පැහැදෙන සුලු "
"creed,ජීවන දර්ශනය "
"creek,කුඩා මුහුදු බොක්ක "
"creel,ලොකු මාළු කූඩය "
"creep,බඩගානවා "
"creeper,වැල "
"creeping,බඩගායෑම "
"creepy,හිරි වැටීම ඇති කරවන "
"cremate,ආදාහන කරනවා "
"cremation,ආදාහනය "
"crematorium,ආදාහනාගාරය"
"crematory,ආදාහනයට අදාළ"
"crenate,සභංග "
"creole,ක්‍රියෝල් "
"creosote,ක්‍රියොසෝට් "
"creosoting,ක්‍රියසෝටනය"
"crepe,රැලි සහිත සැහැල්ලු රෙදි වර්ගයක් "
"crepitate,පට පට ගානවා"
"crept,රිංගුවා"
"crepuscular,අඳුරු "
"crescendo,නාදවෘද්ධිය "
"crescent-moon,නුපුන්සඳ"
"crescent-shaped,අඬ සඳ හැඩ"
"crescent,අඩ සඳ "
"cresol,ක්‍රිසෝල්"
"cress,සලාද කොළ ජාතියක්"
"cresset,දිග පන්දම "
"crest,කුකුල් කරමලය "
"crested,කරමලයක් ඇති "
"cresting,වහල හෝ බිත්තිය මත තනන සැරසිල්ල"
"cretaceous,ක්‍රිටේසීය "
"cretin,ක්‍රෙටිනයා "
"cretinism,ක්‍රෙටිනතාව"
"cretonne,සුදු නොකළ මුද්‍රිත ඝන කපු පිළි "
"crevasse,ග්ලැසියර විවරය "
"crevice,පටු පැළුම "
"crew cut,කොණ්ඩය ඉතා කොටට කැපීම"
"crew,නාවික හෝ ගුවන් පිරිස "
"crib,ළදරු ඇඳ "
"cribbage,කඩදාසි කුට්ටමෙන් කරන ක්‍රීඩාවක්"
"cribbed,හොරෙන් උපුටා ගත් "
"cribbing,අනුන්ගේ රචනා හොරට ලියා ඉදිරිපත් කිරීම"
"cribwork,පෙට්ටි පාදම"
"crick,බෙල්ලේ ඇති වන උළුක්කුව "
"cricket,ක්‍රිකට් ක්‍රීඩාව "
"cricketer,ක්‍රිකට් ක්‍රීඩකයා"
"cried,ඇඬුවා"
"crier,ඝෝෂකයා "
"cries,විලාප "
"crime,අපරාධය "
"criminal law,අපරාධ නීතිය"
"criminal,අපරාධකරු "
"criminality,අපරාධකාරිත්වය "
"criminally,සාපරාධී ලෙස"
"criminate,අපරාධාරෝපණය කරනවා"
"criminating,අපරාධාරෝපණ"
"criminologist,අපරාධවේදියා"
"criminology,අපරාධ පරීක්ෂණ විද්‍යාව "
"crimp,රැලි දමනවා "
"crimper,රැළි අඬුව"
"crimson,තද රතු "
"cringe,හැකිළෙනවා "
"cringing,ඇකිළීම"
"crinkle,රෙද්දක හෝ කඩදාසියක නැම්ම "
"crinoline,උඩ ඇඳුමට පිම්බුණු හැඩයක් දීම සඳහා අඳින ශක්තිමත් කළ යට ඇඳුම"
